"State","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","category","region_name"
"Illinois",225.6,217.1,226.92,234.9,225.13,227.4,231.4,237.8,244.4,236.5,244,242.3,227.2,233.3,232.1,219,233.6,236.7,219.2,207.4,206,213.1,203.4,169.9,0,0,NA,"carbon","Midwest"
"Indiana",218,219.7,226.45,239.7,230.33,233.3,239.7,240.1,238.6,236.7,236,231.7,209.1,218.4,209.8,195.4,200.1,205.8,187.2,181.8,175.9,189.2,176.1,154.3,0,0,NA,"carbon","Midwest"
"Iowa",74.3,77.2,78.14,79.4,78.24,78.8,78.9,80,80.1,81.3,87,90.3,85.4,90.3,87.3,81.4,82.4,83.4,77.4,74,76.3,82.4,77.3,65.7,0,0,NA,"carbon","Midwest"
"Kansas",71.2,70.1,73.27,75.8,71.83,76.3,78.8,76.6,73.1,72.9,79,75,73.2,72.6,70.7,66.1,69.8,70.3,64.5,62.6,59,62.9,60.5,57.8,0,0,NA,"carbon","Midwest"
"Kentucky",143,141.4,146.21,147.1,151.05,151.3,147.8,154.5,156.3,158.7,158.5,155.8,146,152.9,151.2,140.6,139.7,140.4,131.3,126.8,116.8,122.8,115.4,101.9,0,0,NA,"carbon","Southeast"
"Louisiana",221.4,208.2,206.46,220.6,198.72,204.6,201.6,207.9,201.9,210.1,210.6,204.1,193.5,203.5,207.9,197.1,189,186.3,185.6,189.1,193.4,194.7,194.9,183.3,0,0,NA,"carbon","Southwest"
"Maine",19.6,19.3,20.23,22.2,22.38,23.9,23.8,24.1,23.1,21.2,20.9,19,18.3,17.8,17.3,15.6,16.4,16.4,16.7,16.2,15.4,14.8,14.4,13.5,0,0,NA,"carbon","Northeast"
"Maryland",72.8,76,78.6,78.5,79.02,79.1,82.2,83.4,85,78.2,78.5,74.6,71.4,71.4,66.9,62.4,61.6,64.2,62.3,60.5,55,61.7,56.9,48.1,0,0,NA,"carbon","Southeast"
"Massachusetts",85.2,83.1,80.75,82.3,81.99,83,84.8,83,84.4,76.6,79.9,76.7,70.4,72.8,68.8,62.5,66.5,64.9,66.7,64.1,64.7,64.1,63.3,52.3,0,0,NA,"carbon","Northeast"
"Michigan",191.9,191.1,198.98,194.6,189.56,188.8,187.1,188.9,190.1,179.3,182,175.5,164.8,167.5,162.5,155.4,164,164,164.5,154.5,155.7,163.7,159.2,136.8,0,0,NA,"carbon","Midwest"
"Minnesota",91.7,91.8,92.58,98.1,94.91,97.3,101.9,100.8,101.8,99.1,100.6,100,92.2,91.9,91.4,86.4,90.8,95.9,89.3,91.1,91.3,94.8,92.1,78.4,0,0,NA,"carbon","Midwest"
